timestamp_utc,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,DISTANCE_W_MIL,THROTTLE_POS_B
2026-05-11T13:50:21+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",72.94117647058823 percent,87 degree_Celsius,-5.46875 percent,9.375 percent,77 kilopascal,2088.0 revolutions_per_minute,39.0 kilometer_per_hour,15.5 degree,71 degree_Celsius,29.80392156862745 percent,"((), (False, False, False, False), (False, False, True, True))",0.28 volt,0.63 volt,EOBD (Europe),0.0 kilometer,19.607843137254903 percent
2026-05-11T13:50:25+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",45.490196078431374 percent,87 degree_Celsius,1.5625 percent,9.375 percent,50 kilopascal,2351.5 revolutions_per_minute,44.0 kilometer_per_hour,11.0 degree,71 degree_Celsius,31.764705882352942 percent,"((), (False, False, False, False), (False, False, True, True))",0.155 volt,0.705 volt,EOBD (Europe),0.0 kilometer,18.431372549019606 percent
2026-05-11T13:50:28+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",23.529411764705884 percent,88 degree_Celsius,0.0 percent,9.375 percent,43 kilopascal,1196.5 revolutions_per_minute,47.0 kilometer_per_hour,3.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.78 volt,0.13 volt,EOBD (Europe),0.0 kilometer,23.92156862745098 percent
2026-05-11T13:50:32+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",48.23529411764706 percent,89 degree_Celsius,5.46875 percent,9.375 percent,85 kilopascal,2012.75 revolutions_per_minute,50.0 kilometer_per_hour,11.0 degree,69 degree_Celsius,28.627450980392158 percent,"((), (False, False, False, False), (False, False, True, True))",0.7 volt,0.635 volt,EOBD (Europe),0.0 kilometer,24.705882352941178 percent
2026-05-11T13:50:36+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",32.15686274509804 percent,89 degree_Celsius,1.5625 percent,9.375 percent,26 kilopascal,2144.5 revolutions_per_minute,52.0 kilometer_per_hour,-10.5 degree,69 degree_Celsius,17.254901960784313 percent,"((), (False, False, False, False), (False, False, True, True))",0.79 volt,0.125 volt,EOBD (Europe),0.0 kilometer,15.686274509803921 percent
2026-05-11T13:50:40+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",29.80392156862745 percent,89 degree_Celsius,0.0 percent,9.375 percent,39 kilopascal,1090.5 revolutions_per_minute,48.0 kilometer_per_hour,5.0 degree,69 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.075 volt,0.135 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:50:43+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.11764705882353 percent,89 degree_Celsius,-0.78125 percent,9.375 percent,43 kilopascal,870.5 revolutions_per_minute,43.0 kilometer_per_hour,3.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.685 volt,0.155 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:50:47+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",35.294117647058826 percent,89 degree_Celsius,1.5625 percent,9.375 percent,44 kilopascal,874.0 revolutions_per_minute,35.0 kilometer_per_hour,3.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.685 volt,0.17 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:50:51+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.03921568627451 percent,90 degree_Celsius,0.78125 percent,9.375 percent,47 kilopascal,861.25 revolutions_per_minute,19.0 kilometer_per_hour,6.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.525 volt,0.18 volt,EOBD (Europe),0.0 kilometer,14.509803921568627 percent
2026-05-11T13:50:54+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",39.21568627450981 percent,90 degree_Celsius,-1.5625 percent,9.375 percent,47 kilopascal,861.0 revolutions_per_minute,15.0 kilometer_per_hour,11.0 degree,69 degree_Celsius,14.509803921568627 percent,"((), (False, False, False, False), (False, False, True, True))",0.68 volt,0.185 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:50:58+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",35.294117647058826 percent,90 degree_Celsius,-4.6875 percent,9.375 percent,43 kilopascal,806.75 revolutions_per_minute,13.0 kilometer_per_hour,-7.5 degree,69 degree_Celsius,21.568627450980394 percent,"((), (False, False, False, False), (False, False, True, True))",0.785 volt,0.42 volt,EOBD (Europe),0.0 kilometer,31.372549019607842 percent
2026-05-11T13:51:02+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",86.66666666666667 percent,90 degree_Celsius,-3.90625 percent,9.375 percent,92 kilopascal,1869.5 revolutions_per_minute,25.0 kilometer_per_hour,9.5 degree,69 degree_Celsius,15.294117647058824 percent,"((), (False, False, False, False), (False, False, True, True))",0.025 volt,0.035 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:51:05+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",94.90196078431373 percent,88 degree_Celsius,-7.03125 percent,9.375 percent,99 kilopascal,1692.25 revolutions_per_minute,32.0 kilometer_per_hour,4.5 degree,69 degree_Celsius,85.49019607843137 percent,"((), (False, False, False, False), (False, False, True, True))",0.59 volt,0.625 volt,EOBD (Europe),0.0 kilometer,85.88235294117646 percent
2026-05-11T13:51:09+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.098039215686274 percent,87 degree_Celsius,0.0 percent,9.375 percent,40 kilopascal,1158.75 revolutions_per_minute,41.0 kilometer_per_hour,-3.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.7 volt,0.155 volt,EOBD (Europe),0.0 kilometer,86.27450980392157 percent
2026-05-11T13:51:13+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",69.41176470588235 percent,87 degree_Celsius,-6.25 percent,9.375 percent,70 kilopascal,1912.75 revolutions_per_minute,46.0 kilometer_per_hour,18.5 degree,69 degree_Celsius,19.607843137254903 percent,"((), (False, False, False, False), (False, False, True, True))",0.18 volt,0.64 volt,EOBD (Europe),0.0 kilometer,19.607843137254903 percent
2026-05-11T13:51:16+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",61.568627450980394 percent,88 degree_Celsius,-12.5 percent,9.375 percent,61 kilopascal,2088.25 revolutions_per_minute,51.0 kilometer_per_hour,26.0 degree,68 degree_Celsius,19.215686274509803 percent,"((), (False, False, False, False), (False, False, True, True))",0.06 volt,0.65 volt,EOBD (Europe),0.0 kilometer,15.294117647058824 percent
2026-05-11T13:51:20+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",31.372549019607842 percent,89 degree_Celsius,-1.5625 percent,9.375 percent,41 kilopascal,889.5 revolutions_per_minute,49.0 kilometer_per_hour,5.0 degree,68 degree_Celsius,13.333333333333334 percent,"((), (False, False, False, False), (False, False, True, True))",0.71 volt,0.15 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:51:24+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.90196078431372 percent,89 degree_Celsius,-3.125 percent,9.375 percent,43 kilopascal,860.75 revolutions_per_minute,46.0 kilometer_per_hour,5.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.595 volt,0.17 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:27+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.11764705882353 percent,90 degree_Celsius,0.0 percent,9.375 percent,42 kilopascal,850.75 revolutions_per_minute,44.0 kilometer_per_hour,6.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.185 volt,0.18 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:31+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.11764705882353 percent,90 degree_Celsius,-1.5625 percent,9.375 percent,43 kilopascal,844.25 revolutions_per_minute,36.0 kilometer_per_hour,5.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.09 volt,0.19 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:35+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.90196078431372 percent,90 degree_Celsius,-0.78125 percent,9.375 percent,44 kilopascal,826.75 revolutions_per_minute,18.0 kilometer_per_hour,4.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.675 volt,0.195 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:39+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",35.68627450980392 percent,90 degree_Celsius,2.34375 percent,9.375 percent,44 kilopascal,844.5 revolutions_per_minute,2.0 kilometer_per_hour,3.0 degree,69 degree_Celsius,13.333333333333334 percent,"((), (False, False, False, False), (False, False, True, True))",0.725 volt,0.195 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:42+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.470588235294116 percent,89 degree_Celsius,4.6875 percent,9.375 percent,44 kilopascal,794.75 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.12 volt,0.2 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:46+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.254901960784316 percent,88 degree_Celsius,7.03125 percent,9.375 percent,47 kilopascal,771.25 revolutions_per_minute,0.0 kilometer_per_hour,0.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.105 volt,0.205 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:50+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.86274509803921 percent,88 degree_Celsius,4.6875 percent,9.375 percent,46 kilopascal,769.0 revolutions_per_minute,0.0 kilometer_per_hour,3.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.66 volt,0.205 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:53+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.470588235294116 percent,87 degree_Celsius,3.90625 percent,9.375 percent,46 kilopascal,797.5 revolutions_per_minute,0.0 kilometer_per_hour,3.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.445 volt,0.205 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:51:57+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.254901960784316 percent,87 degree_Celsius,4.6875 percent,9.375 percent,46 kilopascal,772.25 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.14 volt,0.205 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:52:01+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",37.254901960784316 percent,87 degree_Celsius,4.6875 percent,9.375 percent,46 kilopascal,794.25 revolutions_per_minute,0.0 kilometer_per_hour,3.5 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.68 volt,0.205 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:52:04+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.86274509803921 percent,88 degree_Celsius,0.0 percent,9.375 percent,46 kilopascal,797.75 revolutions_per_minute,0.0 kilometer_per_hour,2.0 degree,69 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.66 volt,0.205 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
